ID,Name,Fat (g),Protein (g),Carbohydrate (g)
782476,Croaker Baked Or Broiled Fat Added In Cooking,7.56,21.76,0.1
782477,Croaker Baked Or Broiled Fat Not Added In Cooking,4,22.4,0.1
782478,Croaker Coated Baked Or Broiled Fat Added In Cooking,9.3,18.89,12.52
782479,Croaker Coated Baked Or Broiled Fat Not Added In Cooking,3.86,19.76,13.1
782480,Croaker Coated Fried,13.03,18.17,9.85
782481,Croaker Steamed Or Poached,3.99,22.36,0
782482,Eel Cooked Ns As To Cooking Method,20.09,18.67,9.34
782483,Eel Steamed Or Poached,14.66,23.19,0
782484,Eel Smoked,18.17,28.73,0
782486,Flounder Cooked Ns As To Cooking Method,11.98,13.59,9.86
782487,Flounder Baked Or Broiled Made With Oil,6.04,15.19,0.1
782488,Flounder Baked Or Broiled Made With Butter,5.46,15.2,0.1
782489,Flounder Baked Or Broiled Made With Margarine,4.67,15.17,0.13
782490,Flounder Baked Or Broiled Made Without Fat,2.43,15.63,0.1
782491,Flounder Baked Or Broiled Made With Cooking Spray,2.82,15.57,0.2
782492,Flounder Coated Baked Or Broiled Made With Oil,8.15,13.88,12.52
782493,Flounder Coated Baked Or Broiled Made With Butter,7.26,13.9,12.5
782494,Flounder Coated Baked Or Broiled Made With Margarine,6.05,13.86,12.55
782495,Flounder Coated Baked Or Broiled Made Without Fat,2.65,14.52,13.1
782496,Flounder Coated Baked Or Broiled Made With Cooking Spray,2.95,14.47,13.14
782497,Flounder Coated Fried Made With Oil,11.98,13.59,9.85
782498,Flounder Coated Fried Made With Butter,10.33,13.66,9.86
782499,Flounder Coated Fried Made With Margarine,8.47,13.6,9.93
782500,Flounder Coated Fried Made Without Fat,3.84,15.99,11.6
782501,Flounder Coated Fried Made With Cooking Spray,4.14,15.94,11.64
782502,Flounder Steamed Or Poached,2.43,15.61,0
782503,Flounder Smoked,4.66,29.98,0
782504,Haddock Cooked Ns As To Cooking Method,4.23,19.97,0.1
782505,Haddock Baked Or Broiled Fat Added In Cooking,4.23,19.97,0.1
782506,Haddock Baked Or Broiled Fat Not Added In Cooking,0.57,20.56,0.1
782507,Haddock Coated Baked Or Broiled Fat Added In Cooking,6.76,17.53,12.52
782508,Haddock Coated Baked Or Broiled Fat Not Added In Cooking,1.21,18.33,13.1
782509,Haddock Coated Fried,10.71,16.93,9.85
782510,Haddock Steamed Or Poached,0.57,20.52,0
782513,Halibut Cooked Ns As To Cooking Method,5.3,22.71,0.1
782514,Halibut Baked Or Broiled Made With Oil,5.3,22.71,0.1
782515,Halibut Baked Or Broiled Made With Butter,4.73,22.72,0.1
782516,Halibut Baked Or Broiled Made With Margarine,3.93,22.68,0.13
782517,Halibut Baked Or Broiled Made Without Fat,1.68,23.38,0.1
782518,Halibut Baked Or Broiled Made With Cooking Spray,2.06,23.29,0.2
782519,Halibut Coated Baked Or Broiled Made With Oil,7.59,19.62,12.52
782520,Halibut Coated Baked Or Broiled Made With Butter,6.7,19.64,12.5
782521,Halibut Coated Baked Or Broiled Made With Margarine,5.49,19.59,12.55
782522,Halibut Coated Baked Or Broiled Made Without Fat,2.07,20.52,13.1
782523,Halibut Coated Baked Or Broiled Made With Cooking Spray,2.37,20.46,13.14
782524,Halibut Coated Fried Made With Oil,11.46,18.84,9.85
782525,Halibut Coated Fried Made With Butter,9.82,18.91,9.86
782526,Halibut Coated Fried Made With Margarine,7.96,18.85,9.93
782527,Halibut Coated Fried Made Without Fat,3.24,22.17,11.6
782528,Halibut Coated Fried Made With Cooking Spray,3.54,22.1,11.64
782529,Halibut Steamed Or Poached,1.67,23.34,0
782530,Halibut Smoked,3.2,44.61,0
782532,Herring Cooked Ns As To Cooking Method,14.74,21.98,0.1
782533,Herring Baked Or Broiled Fat Added In Cooking,14.74,21.98,0.1
782534,Herring Baked Or Broiled Fat Not Added In Cooking,11.39,22.62,0.1
782535,Herring Coated Baked Or Broiled Fat Added In Cooking,14.79,19.06,12.52
782536,Herring Coated Baked Or Broiled Fat Not Added In Cooking,9.6,19.93,13.1
782537,Herring Coated Fried,18.04,18.33,9.85
782538,Herring Pickled In Cream Sauce,18.27,11.81,8.63
782539,Herring Dried Salted,28.04,55.71,0
782542,Mackerel Raw,11.91,19.08,0
782543,Mackerel Cooked Ns As To Cooking Method,18.22,23.36,0.1
782544,Mackerel Baked Or Broiled Fat Added In Cooking,18.22,23.36,0.1
782545,Mackerel Baked Or Broiled Fat Not Added In Cooking,14.98,24.05,0.1
782546,Mackerel Coated Baked Or Broiled Fat Added In Cooking,17.45,20.12,12.52
782547,Mackerel Coated Baked Or Broiled Fat Not Added In Cooking,12.38,21.04,13.09
782548,Mackerel Coated Fried,20.47,19.29,9.85
782549,Mackerel Pickled,17.05,11.11,4.03
782551,Mackerel Smoked,10.04,25.54,0
782553,Mullet Cooked Ns As To Cooking Method,13.56,19.51,9.86
782554,Mullet Baked Or Broiled Fat Added In Cooking,8.31,23.68,0.1
782555,Mullet Baked Or Broiled Fat Not Added In Cooking,4.78,24.37,0.1
782556,Mullet Coated Baked Or Broiled Fat Added In Cooking,9.88,20.36,12.52
782557,Mullet Coated Baked Or Broiled Fat Not Added In Cooking,4.47,21.29,13.1
782558,Mullet Coated Fried,13.56,19.51,9.85
782559,Mullet Steamed Or Poached,4.77,24.33,0
782561,Ocean Perch Cooked Ns As To Cooking Method,5.56,18.73,0.1
782562,Ocean Perch Baked Or Broiled Fat Added In Cooking,5.56,18.73,0.1
782563,Ocean Perch Baked Or Broiled Fat Not Added In Cooking,1.94,19.29,0.1
782564,Ocean Perch Coated Baked Or Broiled Fat Added In Cooking,7.78,16.59,12.52
782565,Ocean Perch Coated Baked Or Broiled Fat Not Added In Cooking,2.27,17.35,13.1
782566,Ocean Perch Coated Fried,11.64,16.07,9.85
782567,Ocean Perch Steamed Or Poached,1.94,19.25,0
782568,Perch Cooked Ns As To Cooking Method,11.11,19.55,9.86
782569,Perch Baked Or Broiled Made With Oil,4.8,23.72,0.1
782570,Perch Baked Or Broiled Made With Butter,4.23,23.73,0.1
782571,Perch Baked Or Broiled Made With Margarine,3.43,23.7,0.13
782572,Perch Baked Or Broiled Made Without Fat,1.16,24.42,0.1
782573,Perch Baked Or Broiled Made With Cooking Spray,1.55,24.33,0.2
782574,Perch Coated Baked Or Broiled Made With Oil,7.2,20.4,12.52
782575,Perch Coated Baked Or Broiled Made With Butter,6.32,20.41,12.5
782576,Perch Coated Baked Or Broiled Made With Margarine,5.11,20.36,12.55
782577,Perch Coated Baked Or Broiled Made Without Fat,1.67,21.33,13.1
782578,Perch Coated Baked Or Broiled Made With Cooking Spray,1.97,21.27,13.14
782579,Perch Coated Fried Made With Oil,11.11,19.55,9.85
782580,Perch Coated Fried Made With Butter,9.47,19.62,9.86
782581,Perch Coated Fried Made With Margarine,7.61,19.56,9.93
782582,Perch Coated Fried Made Without Fat,2.82,23,11.6
782583,Perch Coated Fried Made With Cooking Spray,3.13,22.94,11.64
782584,Perch Steamed Or Poached,1.16,24.38,0
782585,Pike Cooked Ns As To Cooking Method,11.13,19.15,13.87
782586,Pike Baked Or Broiled Fat Added In Cooking,4.52,23.56,0.1
782587,Pike Baked Or Broiled Fat Not Added In Cooking,0.87,24.26,0.1
782588,Pike Coated Baked Or Broiled Fat Added In Cooking,6.99,20.28,12.52
782589,Pike Coated Baked Or Broiled Fat Not Added In Cooking,1.44,21.2,13.1
782590,Pike Coated Fried,10.92,19.44,9.85
782591,Pike Steamed Or Poached,0.87,24.22,0
782593,Pompano Cooked Ns As To Cooking Method,15.26,22.61,0.1
782594,Pompano Baked Or Broiled Fat Added In Cooking,15.26,22.61,0.1
782595,Pompano Baked Or Broiled Fat Not Added In Cooking,11.93,23.28,0.1
782596,Pompano Coated Baked Or Broiled Fat Added In Cooking,15.19,19.55,12.52
782597,Pompano Coated Baked Or Broiled Fat Not Added In Cooking,10.02,20.44,13.1
782598,Pompano Coated Fried,18.41,18.77,9.85
782599,Pompano Steamed Or Poached,11.91,23.24,0
782600,Pompano Smoked,11.06,21.58,0
782602,Porgy Cooked Ns As To Cooking Method,7.02,23.1,0.1
782603,Porgy Baked Or Broiled Fat Added In Cooking,7.02,23.1,0.1
782604,Porgy Baked Or Broiled Fat Not Added In Cooking,3.44,23.78,0.1
782605,Porgy Coated Baked Or Broiled Fat Added In Cooking,8.89,19.92,12.52
782606,Porgy Coated Baked Or Broiled Fat Not Added In Cooking,3.44,20.83,13.1
782607,Porgy Coated Fried,12.66,19.11,9.85
782608,Porgy Steamed Or Poached,3.43,23.74,0
782609,Ray Cooked Ns As To Cooking Method,9.2,25.67,0.1
782610,Ray Baked Or Broiled Fat Added In Cooking,9.2,25.67,0.1
782611,Ray Baked Or Broiled Fat Not Added In Cooking,5.68,26.43,0.1
782612,Ray Coated Baked Or Broiled Fat Added In Cooking,10.56,21.88,12.52
782613,Ray Coated Baked Or Broiled Fat Not Added In Cooking,5.17,22.88,13.1
782614,Ray Coated Fried,14.18,20.9,9.85
782615,Ray Steamed Or Poached,5.67,26.38,0
782617,Salmon Cooked Ns As To Cooking Method,9.06,25.08,0.1
782618,Salmon Baked Or Broiled Made With Oil,9.06,25.08,0.1
782619,Salmon Baked Or Broiled Made With Butter,8.48,25.08,0.1
782620,Salmon Baked Or Broiled Made With Margarine,7.68,25.05,0.13
782621,Salmon Baked Or Broiled Made Without Fat,5.54,25.82,0.1
782622,Salmon Baked Or Broiled Made With Cooking Spray,5.92,25.72,0.2
782623,Salmon Coated Baked Or Broiled Made With Oil,10.45,21.43,12.52
782624,Salmon Coated Baked Or Broiled Made With Butter,9.56,21.44,12.5
782625,Salmon Coated Baked Or Broiled Made With Margarine,8.35,21.4,12.55
782626,Salmon Coated Baked Or Broiled Made Without Fat,5.07,22.42,13.1
782627,Salmon Coated Baked Or Broiled Made With Cooking Spray,5.35,22.35,13.14
782628,Salmon Coated Fried Made With Oil,14.08,20.5,9.85
782629,Salmon Coated Fried Made With Butter,12.44,20.57,9.86
782630,Salmon Coated Fried Made With Margarine,10.58,20.51,9.93
782631,Salmon Coated Fried Made Without Fat,6.32,24.12,11.6
782632,Salmon Coated Fried Made With Cooking Spray,6.61,24.05,11.64
782633,Salmon Steamed Or Poached,5.53,25.78,0
782634,Salmon Dried,13.75,64.06,0
782635,Salmon Canned,5.48,20.55,0
782638,Sardines Dried,23.18,46.06,0
782641,Sea Bass Cooked Ns As To Cooking Method,6.12,22.55,0.1
782642,Sea Bass Baked Or Broiled Fat Added In Cooking,6.12,22.55,0.1
782643,Sea Bass Baked Or Broiled Fat Not Added In Cooking,2.52,23.22,0.1
782644,Sea Bass Coated Baked Or Broiled Fat Added In Cooking,8.21,19.5,12.52
782645,Sea Bass Coated Baked Or Broiled Fat Not Added In Cooking,2.72,20.39,13.1
782646,Sea Bass Coated Fried,12.04,18.73,9.85
782647,Sea Bass Steamed Or Poached,2.52,23.18,0
782648,Sea Bass Pickled,10.26,11.01,4.03
782649,Shark Cooked Ns As To Cooking Method,9.2,25.67,0.1
782650,Shark Baked Or Broiled Fat Added In Cooking,9.2,25.67,0.1
782651,Shark Baked Or Broiled Fat Not Added In Cooking,5.68,26.43,0.1
782652,Shark Coated Baked Or Broiled Fat Added In Cooking,10.56,21.88,12.52
782653,Shark Coated Baked Or Broiled Fat Not Added In Cooking,5.17,22.88,13.1
782654,Shark Coated Fried,14.18,20.9,9.85
782655,Shark Steamed Or Poached,5.67,26.38,0
782656,Sturgeon Cooked Ns As To Cooking Method,8.62,19.75,0.1
782657,Sturgeon Baked Or Broiled Fat Added In Cooking,8.62,19.75,0.1
782658,Sturgeon Steamed,5.08,20.3,0
782659,Sturgeon Coated Fried,13.78,16.77,9.85
782661,Swordfish Cooked Ns As To Cooking Method,11.81,24.06,0.1
782662,Swordfish Baked Or Broiled Fat Added In Cooking,11.81,24.06,0.1
782663,Swordfish Baked Or Broiled Fat Not Added In Cooking,8.38,24.76,0.1
782664,Swordfish Coated Baked Or Broiled Fat Added In Cooking,12.56,20.65,12.52
782665,Swordfish Coated Baked Or Broiled Fat Not Added In Cooking,7.26,21.59,13.1
782666,Swordfish Coated Fried,16,19.78,9.85
782667,Swordfish Steamed Or Poached,8.36,24.72,0
782668,Trout Cooked Ns As To Cooking Method,11.24,24.4,0.1
782669,Trout Baked Or Broiled Made With Oil,11.24,24.4,0.1
782670,Trout Baked Or Broiled Made With Butter,10.65,24.4,0.1
782671,Trout Baked Or Broiled Made With Margarine,9.86,24.37,0.13
782672,Trout Baked Or Broiled Made Without Fat,7.79,25.12,0.1
782673,Trout Baked Or Broiled Made With Cooking Spray,8.15,25.02,0.2
782674,Trout Coated Baked Or Broiled Made With Oil,12.12,20.91,12.52
782675,Trout Coated Baked Or Broiled Made With Butter,11.22,20.92,12.5
782676,Trout Coated Baked Or Broiled Made With Margarine,10.01,20.88,12.55
782677,Trout Coated Baked Or Broiled Made Without Fat,6.8,21.87,13.1
782678,Trout Coated Baked Or Broiled Made With Cooking Spray,7.09,21.8,13.14
782679,Trout Coated Fried Made With Oil,15.6,20.02,9.85
782680,Trout Coated Fried Made With Butter,13.96,20.09,9.86
782681,Trout Coated Fried Made With Margarine,12.1,20.03,9.93
782682,Trout Coated Fried Made Without Fat,8.11,23.56,11.6
782683,Trout Coated Fried Made With Cooking Spray,8.4,23.49,11.64
782684,Trout Steamed Or Poached,7.77,25.08,0
782685,Trout Smoked,10.99,35.47,0
782687,Tuna Fresh Cooked Ns As To Cooking Method,4.28,29.85,0.1
782688,Tuna Fresh Baked Or Broiled Fat Added In Cooking,4.28,29.85,0.1
782689,Tuna Fresh Baked Or Broiled Fat Not Added In Cooking,0.62,30.73,0.1
782690,Tuna Fresh Coated Baked Or Broiled Fat Added In Cooking,6.8,25.08,12.52
782691,Tuna Fresh Coated Baked Or Broiled Fat Not Added,1.25,26.22,13.1
782692,Tuna Fresh Coated Fried,10.75,23.82,9.85
782693,Tuna Fresh Steamed Or Poached,0.62,30.68,0
782694,Tuna Fresh Dried,1.53,76.25,0
782695,Tuna Fresh Smoked,10.04,25.54,0
782699,Whiting Cooked Ns As To Cooking Method,11.44,18.62,9.86
782700,Whiting Baked Or Broiled Made With Oil,5.28,22.4,0.1
782701,Whiting Baked Or Broiled Made With Butter,4.7,22.41,0.1
782702,Whiting Baked Or Broiled Made With Margarine,3.91,22.38,0.13
782703,Whiting Baked Or Broiled Made Without Fat,1.65,23.06,0.1
782704,Whiting Baked Or Broiled Made With Cooking Spray,2.04,22.98,0.2
782705,Whiting Coated Baked Or Broiled Made With Oil,7.57,19.39,12.52
782706,Whiting Coated Baked Or Broiled Made With Butter,6.68,19.4,12.5
782707,Whiting Coated Baked Or Broiled Made With Margarine,5.47,19.36,12.55
782708,Whiting Coated Baked Or Broiled Made Without Fat,2.05,20.28,13.1
782709,Whiting Coated Baked Or Broiled Made With Cooking Spray,2.35,20.22,13.14
782710,Whiting Coated Fried Made With Oil,11.45,18.62,9.85
782711,Whiting Coated Fried Made With Butter,9.8,18.7,9.86
782712,Whiting Coated Fried Made With Margarine,7.94,18.64,9.93
782713,Whiting Coated Fried Made Without Fat,3.22,21.92,11.6
782714,Whiting Coated Fried Made With Cooking Spray,3.52,21.85,11.64
782715,Whiting Steamed Or Poached,1.65,23.02,0
782716,Tilapia Cooked Ns As To Cooking Method,5.76,24.57,0.1
782717,Tilapia Baked Or Broiled Made With Oil,5.76,24.57,0.1
782718,Tilapia Baked Or Broiled Made With Butter,5.18,24.57,0.1
782719,Tilapia Baked Or Broiled Made With Margarine,4.38,24.54,0.13
782720,Tilapia Baked Or Broiled Made Without Fat,2.14,25.29,0.1
782721,Tilapia Baked Or Broiled Made With Cooking Spray,2.53,25.2,0.2
782722,Tilapia Coated Baked Or Broiled Made  With Oil,7.93,21.04,12.52
782723,Tilapia Coated Baked Or Broiled Made With Butter,7.05,21.05,12.5
782724,Tilapia Coated Baked Or Broiled Made With Margarine,5.83,21,12.55
782725,Tilapia Coated Baked Or Broiled Made Without Fat,2.43,22,13.1
782726,Tilapia Coated Baked Or Broiled Made With Cooking Spray,2.73,21.94,13.14
782727,Tilapia Coated Fried Made With Oil,11.78,20.14,9.85
782728,Tilapia Coated Fried Made With Butter,10.13,20.21,9.86
782729,Tilapia Coated Fried Made With Margarine,8.28,20.15,9.93
782730,Tilapia Coated Fried Made Without Fat,3.61,23.7,11.6
782731,Tilapia Coated Fried Made With Cooking Spray,3.91,23.63,11.64
782732,Tilapia Steamed Or Poached,2.14,25.25,0
782733,Frog Legs Ns As To Cooking Method,10.97,17.62,10.21
782734,Frog Legs Steamed,0.38,20.62,0
782735,Octopus Cooked Ns As To Cooking Method,11.63,16.3,12.16
782736,Octopus Steamed,2.07,29.62,4.37
782737,Octopus Dried,3.94,56.52,8.34
782738,Octopus Dried Boiled,2.07,29.69,4.38
782739,Octopus Smoked,2.08,29.82,4.4
782740,Roe Shad Cooked,11.53,27.31,1.93
782744,Squid Baked Or Broiled Fat Added In Cooking,5.23,18.59,3.77
782745,Squid Baked Or Broiled Fat Not Added In Cooking,1.7,19.14,3.88
782746,Squid Coated Baked Or Broiled Fat Added In Cooking,7.44,16.42,15.01
782747,Squid Coated Baked Or Broiled Fat Not Added In Cooking,2.06,17.17,15.7
782748,Squid Coated Fried,11.93,16.89,12.94
782749,Squid Steamed Or Boiled,2.75,31.02,6.13
782750,Squid Dried,5.22,58.94,11.65
782751,Squid Pickled,1.32,14.93,2.96
782752,Squid Canned,1.59,17.9,3.54
782753,Turtle Cooked Ns As To Cooking Method,4.18,23.62,0.09
782754,Abalone Cooked Ns As To Cooking Method,4.49,20.4,7.26
782755,Abalone Floured Or Breaded Fried,11.38,18.24,15.53
782756,Abalone Steamed Or Poached,1.51,34.05,11.97
782758,Clams Cooked Ns As To Cooking Method,4.73,17.5,4.35
782759,Clams Baked Or Broiled Fat Added In Cooking,4.73,17.5,4.35
782760,Clams Baked Or Broiled Fat Not Added In Cooking,1.18,18.02,4.48
782761,Clams Coated Baked Or Broiled Fat Added In Cooking,7.06,15.59,15.46
782762,Clams Coated Baked Or Broiled Fat Not Added In Cooking,1.66,16.3,16.17
782763,Clams Coated Fried,11.56,16.09,13.37
782764,Clams Steamed Or Boiled,1.91,29.21,7.11
782765,Clams Canned,1.2,18.34,4.46
782766,Clams Smoked In Oil,11.82,16.64,4.05
782767,Crab Cooked Ns As To Cooking Method,0.74,17.76,0
782768,Crab Baked Or Broiled Fat Added In Cooking,4.47,21.33,0.09
782769,Crab Baked Or Broiled Fat Not Added In Cooking,0.91,21.96,0.1
782770,Crab Coated Baked Or Broiled Fat Added In Cooking,6.86,18.51,12.21
782771,Crab Coated Baked Or Broiled Fat Not Added In Cooking,1.45,19.36,12.77
782772,Crab Hard Shell Steamed,0.74,17.76,0
782774,Crab Soft Shell Coated Fried,11.36,18.93,10.21
782775,Crayfish Coated Fried,11.55,17.24,10.21
782776,Crayfish Boiled Or Steamed,1.19,16.66,0
782777,Lobster Cooked Ns As To Cooking Method,0.85,18.88,0
782778,Lobster Baked Or Broiled Fat Added In Cooking,4.48,19.71,0.09
782779,Lobster Baked Or Broiled Fat Not Added In Cooking,0.92,20.29,0.1
782780,Lobster Coated Fried,11.37,17.72,10.21
782781,Lobster Steamed Or Boiled,0.85,18.88,0
782782,Lobster Coated Baked Or Broiled Fat Added In Cooking,6.87,17.27,12.21
782783,Lobster Coated Baked Or Broiled Fat Not Added In Cooking,1.46,18.07,12.77
782786,Mussels Cooked Ns As To Cooking Method,4.46,23.7,7.35
782787,Mussels Steamed Or Poached,4.46,23.7,7.35
782789,Oysters Cooked Ns As To Cooking Method,12.22,8.16,12.62
782790,Oysters Baked Or Broiled Fat Added In Cooking,5.62,6.82,3.34
782791,Oysters Baked Or Broiled Fat Not Added In Cooking,2.1,7.02,3.44
782792,Oysters Steamed,3.4,11.37,5.42
782793,Oysters Coated Fried,12.22,8.16,12.62
782794,Oysters Coated Baked Or Broiled Fat Added In Cooking,7.74,7.43,14.69
782795,Oysters Coated Baked Or Broiled Fat Not Added In Cooking,2.38,7.77,15.36
782796,Oysters Canned,2.68,7.67,4.25
782797,Oysters Smoked,2.76,9.2,4.38
782798,Scallops Cooked Ns As To Cooking Method,4.17,14.39,3.89
782799,Scallops Baked Or Broiled Fat Added In Cooking,4.17,14.39,3.89
782800,Scallops Baked Or Broiled Fat Not Added In Cooking,0.6,14.81,4
782801,Scallops Steamed Or Boiled,0.98,24.01,6.33
782802,Scallops Coated Fried,11.14,13.78,13.03
782803,Scallops Coated Baked Or Broiled Fat Added In Cooking,6.63,13.21,15.1
782804,Scallops Coated Baked Or Broiled Fat Not Added In Cooking,1.22,13.82,15.8
782805,Shrimp Cooked Ns As To Cooking Method,11.6,15.15,11.02
782806,Shrimp Baked Or Broiled Made With Oil,4.79,16.24,1.18
782807,Shrimp Baked Or Broiled Made With Butter,4.23,16.25,1.18
782808,Shrimp Baked Or Broiled Made With Margarine,3.45,16.22,1.21
782809,Shrimp Baked Or Broiled Made Without Fat,1.24,16.72,1.21
782810,Shrimp Baked Or Broiled Made With Cooking Spray,1.62,16.65,1.31
782811,Shrimp Steamed Or Boiled,1.29,17.37,1.16
782812,Shrimp Coated Fried Made With Oil,11.6,15.15,11.02
782813,Shrimp Coated Fried Made With Butter,9.89,15.22,11.02
782814,Shrimp Coated Fried Made With Margarine,7.97,15.16,11.1
782815,Shrimp Coated Fried Made Without Fat,2.84,16.77,12.2
782816,Shrimp Coated Fried Made With Cooking Spray,3.14,16.72,12.24
782818,Shrimp Coated Baked Or Broiled Made With Oil,7.11,14.62,13.04
782819,Shrimp Coated Baked Or Broiled Made With Butter,6.24,14.65,13.02
782820,Shrimp Coated Baked Or Broiled Made With Margarine,5.06,14.6,13.06
782821,Shrimp Coated Baked Or Broiled Made Without Fat,1.71,15.29,13.64
782822,Shrimp Coated Baked Or Broiled Made With Cooking Spray,2,15.25,13.67
782823,Shrimp Dried,3.44,51.7,0
782825,Snails Cooked Ns As To Cooking Method,5.26,19.21,2.48
782826,Beef With Tomato-Based Sauce,6.36,21.72,1.58
782827,Beef Goulash,3.78,13.69,2.79
782828,Beef Burgundy,5.94,18.5,4.06
782829,Beef Stew No Potatoes Tomato-Based Sauce Mexican Style,4.39,14.8,3.33
782830,Beef Stew No Potatoes Tomato-Based Sauce With Chili Peppers Mexican Style,3.34,11.66,5.23
782831,Chili Con Carne Ns As To Beans,4.21,8.05,7.22
782833,Chili Con Carne With Beans Home Recipe,4.21,8.05,7.21
782835,Chili Con Carne With Beans,3.81,6.88,10.71
782837,Chili Con Carne Ns As To Beans With Cheese,5.03,6.69,12.58
782838,Chili Con Carne With Beans And Cheese,5.03,6.69,12.58
782839,Beef Sloppy Joe No Bun,6.77,10.78,8.75
782840,Beef With Gravy,7.05,21.56,1.58
782842,Beef With Cream Or White Sauce,9.44,22.5,2.74
782843,Beef Stroganoff,9.45,9.98,6
782844,Creamed Chipped Or Dried Beef,7.95,7.57,7.55
782845,Swedish Meatballs With Cream Or White Sauce,9.88,12.43,7.22
782846,Beef With Mushroom Sauce,7.53,21.96,1.84
782847,Beef With Soy-Based Sauce,12.21,15.83,3.37
782848,Steak Teriyaki,8.25,28.86,1.94
782849,Beef Curry,5.93,6.28,6.83
782850,Beef With Barbecue Sauce,6.23,20.86,11.75
782851,Beef With Sweet And Sour Sauce,8.24,11.6,16.28
782852,Stewed Seasoned Ground Beef Mexican Style,14.58,13.5,1.31
